gene	length	Osa_DSN_rep1	Osa_DSN_rep2	Osa_DSN_rep3	Osa_PolyA_rep1	Osa_PolyA_rep2	Osa_PolyA_rep3	Osa_Ribo-off_rep1	Osa_Ribo-off_rep2	Osa_Ribo-off_rep3
atp1_mt	1730	53712	58880	51896	76	36	46	88042	66140	62540
atp4_mt	794	3242	4312	4224	6	2	2	19170	16522	17188
atp6_mt	1205	9890	10592	11412	14	20	24	6622	5426	6196
atp8_mt	668	2380	3164	1982	8	4	0	2482	2044	1620
atp9_mt	425	2436	2862	3572	4	4	2	1956	1386	1710
ccmB_mt	821	124	174	92	0	0	0	192	124	156
ccmC_mt	923	308	532	472	2	0	4	1266	794	708
ccmFc_mt	1508	854	956	1086	0	0	6	2862	2460	3060
ccmFn_mt	1985	1782	1644	1528	2	2	6	4430	3190	3594
cob_mt	1394	8322	10012	10530	8	14	8	10446	8336	10536
cox1_mt	1775	2534	2876	3182	4	2	14	18950	15328	19146
cox2_mt	983	996	1202	1266	4	2	0	9474	6112	7296
cox3_mt	1043	45850	52956	54600	20	42	26	38694	32658	37304
mat-r_mt	2237	1230	1338	1590	6	10	2	2332	1628	1902
nad1_mt	1178	424	446	434	2	0	0	2814	1852	2024
nad2_mt	1667	498	372	492	0	0	0	1494	868	804
nad3_mt	668	3026	2646	2786	4	2	6	2490	1386	2172
nad4_mt	1688	892	880	802	0	2	0	1606	986	1032
nad4L_mt	503	268	374	346	0	0	0	500	336	310
nad5_mt	2213	2770	3022	2678	4	4	0	8784	6954	6558
nad6_mt	818	1922	1584	1412	4	0	2	3290	1910	1638
nad7_mt	1385	16374	20248	18662	10	18	4	116182	87990	90574
nad9_mt	773	2220	2410	2290	4	8	6	7840	6010	5428
orf102-b_mt	509	124	82	84	0	0	0	22	6	8
orf105-c_mt	518	146	78	82	0	0	2	160	60	62
orf137-a-ct_mt	614	2180	5060	2994	42	116	20	188	314	194
orf146-a_mt	641	130	90	72	0	0	0	54	18	62
orf152a_mt	659	5500	2940	2552	6	0	6	292	124	128
orf152b_mt	659	52	124	92	0	0	0	14	18	46
orf153_mt	662	84	100	120	0	2	0	54	24	88
orf160_mt	683	114	100	92	2	0	0	220	80	112
orf161_mt	686	84	44	124	0	0	0	112	98	92
orf162_mt	689	76	78	94	0	0	0	16	8	2
orf165_mt	698	38864	37858	47184	24	18	24	336	252	416
orf173_mt	722	2038	2032	2250	8	2	4	960	712	844
orf176_mt	731	186	176	228	2	0	0	148	164	418
orf181_mt	746	84	12	56	0	0	0	30	40	26
orf183_mt	752	16708	11738	11472	6	4	4	2752	1858	2010
orf187_mt	764	1576	1882	1936	0	4	2	76	78	120
orf194_mt	785	452	418	856	0	0	0	176	134	270
orf224_mt	875	250	324	398	0	0	0	132	72	140
orf241_mt	926	52	80	60	14	22	10	44	4	44
orf258_mt	978	104	42	114	0	0	0	30	24	16
orf284_mt	1055	1226	1208	1536	0	2	2	3660	2394	2906
orf288_mt	1067	348	406	350	0	0	0	694	438	596
orf490_mt	1673	36	40	58	0	0	0	8	20	12
orf99_mt	500	136	54	114	0	0	0	412	118	198
orfX_mt	1010	4446	5410	5408	6	0	0	8392	6366	6928
rpl16_mt	758	18626	17052	22720	14	16	8	1382	908	1408
rpl2_mt	1709	8994	5254	5780	8	8	4	6500	2610	2940
rpl5_mt	767	2212	1186	1276	10	4	4	5228	2092	2208
rps1_mt	719	4620	5322	5710	10	0	18	1302	1084	1032
rps11_mt	698	2290	1806	2100	2	2	0	316	150	214
rps12_mt	578	5500	4996	5952	6	2	6	216	170	182
rps13_mt	551	2738	2372	1750	4	0	2	1722	1222	898
rps14_mt	476	248	126	164	0	0	0	40	20	36
rps19_mt	482	7744	4368	3960	4	2	0	964	352	376
rps2_mt	1652	4544	3470	3584	4	4	2	6854	4086	4462
rps3_mt	1817	13996	12792	17386	12	6	14	2250	1296	2148
rps4_mt	1259	9390	7088	8890	4	8	2	3138	1380	1892
rps7_mt	647	1418	1212	822	2	0	0	396	264	186
accD_pt	521	7162	12132	11242	38	22	42	1350	1966	1780
atpA_pt	1724	107046	154664	161468	3112	4084	4770	78200	128062	92552
atpB_pt	1697	59576	96790	74754	154	182	140	80256	106134	64336
atpE_pt	614	58618	111582	75468	124	206	158	10614	13248	9024
atpF_pt	752	112856	152502	152218	5256	5670	5504	13514	19808	15490
atpH_pt	446	524	924	1120	2	2	4	3658	5898	3656
