sample	Raw_fragments	Raw_bases	Clean_fragments	Clean_bases
Ath_DSN_rep1	87803975	26341192500	57277695	13930232022
Ath_DSN_rep2	74610552	22383165600	48028795	11736135777
Ath_DSN_rep3	86920568	26076170400	55058107	13382504343
Osa_DSN_rep1	28462904	8538871200	13603144	3633591735
Osa_DSN_rep2	32630815	9789244500	14729323	3971983008
Osa_DSN_rep3	33205830	9961749000	14679376	3957126717
Osa_PolyA_rep1	49500982	14850294600	35143250	9553869258
Osa_PolyA_rep2	48400337	14520101100	34525610	9378973442
Osa_PolyA_rep3	44723674	13417102200	31923242	8651182062
Osa_Ribo-off_rep1	38803075	11640922500	16429415	4400122011
Osa_Ribo-off_rep2	39586331	11875899300	17017663	4570709540
Osa_Ribo-off_rep3	39017385	11705215500	17725368	4787677872
