chr	edit_id	DSN-seq	Osa_DSN_rep1	Osa_DSN_rep2	Osa_DSN_rep3	Osa_Ribo-off_rep1	Osa_Ribo-off_rep2	Osa_Ribo-off_rep3	Ribo-off-seq
Mt	atp1_mt 1178 CT	884.640074595269	971.83415833869	833.032176699499	855.622200834695	743.17923066646	478.91417288026	407.889980055703	539.157342605823
Mt	atp1_mt 1292 CT	1460.06298776828	1414.37891122817	1583.91529603906	1378.12397475206	1205.15550918885	738.644313264401	723.257198383695	883.092436112982
Mt	atp1_mt 1490 CT	3070.08467412103	3116.19137458223	3215.35484013759	2881.59387701494	1301.32448416453	780.953295408424	761.620294709819	941.32690080908
Mt	atp1_mt 1499 CT	3112.16610736722	3169.85543930139	3222.82293626123	2947.67298010488	1298.28116217163	788.592417184428	762.184457891086	943.085659809969
Mt	atp1_mt 30 CT	3385.57917641427	3543.29851981277	3518.15219205934	3106.39907309412	17125.9901828519	12854.291450007	11853.0684384099	13878.9535290144
Mt	atp4_mt 121 CT	664.700650004698	601.331574524242	704.716706938941	683.271550507324	5532.15071869571	4624.01917349051	4599.62241686604	4907.13303014673
Mt	atp4_mt 251 CT	136.706534523526	132.322351362303	118.810620148665	158.726092989239	132.68883889049	84.0303395360456	100.985209446709	105.525540053333
Mt	atp4_mt 398 CT	326.189231184537	277.141813686601	352.35835346947	345.382528521648	146.688120057835	121.050698912066	121.859247153571	129.561913065481
Mt	atp4_mt 419 CT	384.312757767669	315.368270746821	423.64472555867	408.736720143963	143.036133666354	125.164072176068	120.166757609771	129.17107773195
Mt	atp4_mt 59 CT	617.736840525527	550.608006502026	666.697308491368	630.817004755516	5417.11314736404	4532.34971217846	4489.0464333378	4801.41207242663
Mt	atp4_mt 62 CT	617.039358206529	549.872882327791	665.339472832526	630.817004755516	5417.11314736404	4531.76208742646	4485.09729106894	4799.84873109251
Mt	atp4_mt 74 CT	628.199075310491	559.429496592846	678.238911591524	641.716650626021	5425.02578454558	4532.34971217846	4484.53312788767	4802.38916076046
Mt	atp4_mt 79 CT	626.106628353498	557.959248244376	675.52324027384	639.672967025301	5428.06910653849	4531.76208742646	4485.09729106894	4803.36624909429
Mt	atp4_mt 92 CT	612.389476079879	541.786516411206	652.440034073528	637.629283424582	5490.15287519367	4594.63793589049	4566.33678917132	4872.34868546249
Mt	atp6_mt 1003 CT	335.256501331505	360.210845375157	299.402762774637	348.107439989275	390.762543888507	293.224751248159	346.396193297651	342.958005173331
Mt	atp6_mt 13 CT	1248.02836279301	1127.68048327651	1232.23586039901	1375.39906328443	377.980591518322	279.709381952152	331.727950584721	329.278768499751
Mt	atp6_mt 324 CT	1605.60429833244	1649.61864698337	1539.7856371267	1630.85951337441	421.804428216099	327.894611616178	365.577741460713	371.098149187553
Mt	atp6_mt 341 CT	1630.48116771002	1679.02361395277	1559.47425417991	1656.74617231686	421.804428216099	327.894611616178	363.885251916914	370.511896187257
Mt	atp6_mt 368 CT	1607.23175707677	1668.73187551348	1528.92295185597	1628.81582977369	418.152441824618	323.193613600175	357.679456922982	365.626454518121
Mt	atp6_mt 410 CT	1129.45636856342	1178.40405129873	1066.5799100203	1147.18772787072	563.014568686712	468.924552096254	428.764017762565	485.222066578565
Mt	atp6_mt 514 CT	207.384742848615	212.450886353919	202.996430996863	207.093271539608	688.399434794239	609.954492576331	563.034854904	618.887750646119
Mt	atp6_mt 521 CT	202.967354828297	210.980638005449	204.354266655704	194.149942068382	629.358988131957	552.3672668803	537.083348565739	571.79209295565
Mt	atp6_mt 539 CT	203.432343040962	202.159147914629	215.89586975586	192.106258467662	544.145972330725	471.862675856256	478.41037771402	497.337961918021
