chr	name_in_ref	Name	gene_biotype	product
Mt	atp1_mt	atp1	protein_coding	ATP synthase F0 subunit 1
Mt	atp4_mt	atp4	protein_coding	ATPase_subunit_4
Mt	atp6_mt	atp6	protein_coding	ATP synthase F0 subunit 6
Mt	atp8_mt	atp8	protein_coding	ATPase_subunit_8
Mt	atp9_mt	atp9	protein_coding	ATP synthase F0 subunit 9
Mt	ccmB_mt	ccmB	protein_coding	cytochrome c biogenesis B
Mt	ccmC_mt	ccmC	protein_coding	cytochrome c biogenesis C
Mt	ccmFc_mt	ccmFc	protein_coding	cytochrome c biogenesis Fc
Mt	ccmFn_mt	ccmFn	protein_coding	cytochrome c biogenesis Fn
Mt	cob_mt	cob	protein_coding	apocytochrome b
Mt	cox1_mt	cox1	protein_coding	cytochrome c oxidase subunit1
Mt	cox2_mt	cox2	protein_coding	cytochrome c oxidase subunit 2
Mt	cox3_mt	cox3	protein_coding	cytochrome c oxidase subunit 3
Mt	mat-r_mt	mat-r	protein_coding	maturase-related protein
Mt	nad1_mt	nad1	protein_coding	NADH dehydrogenase subunit 1
Mt	nad2_mt	nad2	protein_coding	NADH dehydrogenase subunit 2
Mt	nad3_mt	nad3	protein_coding	NADH dehydrogenase subunit 3
Mt	nad4_mt	nad4	protein_coding	NADH dehydrogenase subunit 4
Mt	nad4L_mt	nad4L	protein_coding	NADH dehydrogenase subunit 4L
Mt	nad5_mt	nad5	protein_coding	NADH dehydrogenase subunit 5
Mt	nad6_mt	nad6	protein_coding	NADH dehydrogenase subunit 6
Mt	nad7_mt	nad7	protein_coding	NADH dehydrogenase subunit 7
Mt	nad9_mt	nad9	protein_coding	NADH dehydrogenase subunit 9
Mt	orf102-b_mt	orf102-b	protein_coding	hypothetical_protein
Mt	orf105-c_mt	orf105-c	protein_coding	hypothetical_protein
Mt	orf137-a-ct_mt	orf137-a-ct	protein_coding	hypothetical_protein
Mt	orf146-a_mt	orf146-a	protein_coding	hypothetical_protein
Mt	orf152a_mt	orf152a	protein_coding	hypothetical protein
Mt	orf152b_mt	orf152b	protein_coding	orf152b
Mt	orf153_mt	orf153	protein_coding	hypothetical protein
Mt	orf160_mt	orf160	protein_coding	hypothetical protein
Mt	orf161_mt	orf161	protein_coding	orf161
Mt	orf162_mt	orf162	protein_coding	hypothetical protein
Mt	orf165_mt	orf165	protein_coding	orf165
Mt	orf173_mt	orf173	protein_coding	hypothetical protein
Mt	orf176_mt	orf176	protein_coding	hypothetical protein
Mt	orf181_mt	orf181	protein_coding	orf181
Mt	orf183_mt	orf183	protein_coding	orf183
Mt	orf187_mt	orf187	protein_coding	Nuclear-like sequence
Mt	orf194_mt	orf194	protein_coding	hypothetical protein
Mt	orf224_mt	orf224	protein_coding	hypothetical protein
Mt	orf241_mt	orf241	protein_coding	hypothetical protein
Mt	orf258_mt	orf258	protein_coding	orf258
Mt	orf284_mt	orf284	protein_coding	hypothetical protein
Mt	orf288_mt	orf288	protein_coding	orf288
Mt	orf490_mt	orf490	protein_coding	orf490
Mt	orf99_mt	orf99	protein_coding	hypothetical_protein
